date,categorie,sous_categorie,quantite,region
2024-01-07,Internet Fixe,WAFI,2,Grand Tunis
2024-01-07,Internet Fixe,Box,10,Grand Tunis
2024-01-07,Mobile,Prepaye,11,Nabeul
2024-01-07,Mobile,Postpaye,4,Sousse
2024-01-07,Mobile,Data,6,Sousse
2024-01-08,Internet Fixe,Rapido,2,Bizerte
2024-01-08,Internet Fixe,ADSL,0,Nabeul
2024-01-08,Internet Fixe,VDSL,2,Sousse
2024-01-08,Internet Fixe,FO,8,Sousse
2024-01-08,Internet Fixe,WAFI,2,Sfax
2024-01-08,Internet Fixe,Box,17,Grand Tunis
2024-01-08,Mobile,Prepaye,23,Sfax
2024-01-08,Mobile,Postpaye,11,Grand Tunis
2024-01-08,Mobile,Data,9,Sfax
2024-01-09,Internet Fixe,Rapido,5,Gabes
2024-01-09,Internet Fixe,ADSL,1,Grand Tunis
2024-01-09,Internet Fixe,VDSL,4,Grand Tunis
2024-01-09,Internet Fixe,FO,13,Grand Tunis
2024-01-09,Internet Fixe,WAFI,4,Grand Tunis
2024-01-09,Internet Fixe,Box,19,Nabeul
2024-01-09,Mobile,Prepaye,29,Sousse
2024-01-09,Mobile,Postpaye,16,Bizerte
2024-01-09,Mobile,Data,15,Nabeul
2024-01-10,Internet Fixe,Rapido,4,Sfax
2024-01-10,Internet Fixe,ADSL,1,Bizerte
2024-01-10,Internet Fixe,VDSL,9,Grand Tunis
2024-01-10,Internet Fixe,FO,9,Grand Tunis
2024-01-10,Internet Fixe,WAFI,2,Grand Tunis
2024-01-10,Internet Fixe,Box,17,Nabeul
2024-01-10,Mobile,Prepaye,29,Sousse
2024-01-10,Mobile,Postpaye,16,Grand Tunis
2024-01-10,Mobile,Data,14,Sousse
2024-01-11,Internet Fixe,Rapido,6,Grand Tunis
2024-01-11,Internet Fixe,ADSL,2,Nabeul
2024-01-11,Internet Fixe,VDSL,6,Sfax
2024-01-11,Internet Fixe,FO,10,Sfax
2024-01-11,Internet Fixe,WAFI,1,Sfax
2024-01-11,Internet Fixe,Box,14,Nabeul
2024-01-11,Mobile,Prepaye,29,Sfax
2024-01-11,Mobile,Postpaye,15,Grand Tunis
2024-01-11,Mobile,Data,4,Grand Tunis
2024-01-12,Internet Fixe,Rapido,3,Kairouan
2024-01-12,Internet Fixe,ADSL,1,Gabes
2024-01-12,Internet Fixe,VDSL,6,Nabeul
2024-01-12,Internet Fixe,FO,8,Grand Tunis
2024-01-12,Internet Fixe,WAFI,3,Kairouan
2024-01-12,Internet Fixe,Box,19,Bizerte
2024-01-12,Mobile,Prepaye,32,Nabeul
2024-01-12,Mobile,Postpaye,6,Sfax
2024-01-12,Mobile,Data,14,Grand Tunis
2024-01-13,Internet Fixe,Rapido,2,Grand Tunis
2024-01-13,Internet Fixe,ADSL,1,Gabes
2024-01-13,Internet Fixe,VDSL,4,Sfax
2024-01-13,Internet Fixe,FO,3,Grand Tunis
2024-01-13,Internet Fixe,WAFI,0,Sfax
2024-01-13,Internet Fixe,Box,9,Sousse
2024-01-13,Mobile,Prepaye,11,Grand Tunis
2024-01-13,Mobile,Postpaye,8,Gabes
2024-01-13,Mobile,Data,12,Bizerte
2024-01-14,Internet Fixe,Rapido,0,Nabeul
2024-01-14,Internet Fixe,ADSL,1,Sfax
2024-01-14,Internet Fixe,VDSL,1,Nabeul
2024-01-14,Internet Fixe,FO,3,Sousse
2024-01-14,Internet Fixe,WAFI,3,Nabeul
2024-01-14,Internet Fixe,Box,11,Grand Tunis
2024-01-14,Mobile,Prepaye,8,Sfax
2024-01-14,Mobile,Postpaye,5,Grand Tunis
2024-01-14,Mobile,Data,5,Sousse
2024-01-15,Internet Fixe,Rapido,3,Sfax
2024-01-15,Internet Fixe,ADSL,1,Grand Tunis
2024-01-15,Internet Fixe,VDSL,5,Grand Tunis
2024-01-15,Internet Fixe,FO,9,Sousse
2024-01-15,Internet Fixe,WAFI,8,Grand Tunis
2024-01-15,Internet Fixe,Box,18,Kairouan
2024-01-15,Mobile,Prepaye,18,Sousse
2024-01-15,Mobile,Postpaye,15,Sfax
2024-01-15,Mobile,Data,10,Sousse
2024-01-16,Internet Fixe,Rapido,1,Grand Tunis
2024-01-16,Internet Fixe,ADSL,2,Kairouan
2024-01-16,Internet Fixe,VDSL,1,Sousse
2024-01-16,Internet Fixe,FO,15,Bizerte
2024-01-16,Internet Fixe,WAFI,6,Grand Tunis
2024-01-16,Internet Fixe,Box,12,Sousse
2024-01-16,Mobile,Prepaye,30,Sousse
2024-01-16,Mobile,Postpaye,13,Kairouan
2024-01-16,Mobile,Data,15,Sousse
2024-01-17,Internet Fixe,Rapido,3,Sousse
2024-01-17,Internet Fixe,ADSL,0,Grand Tunis
2024-01-17,Internet Fixe,VDSL,7,Sfax
2024-01-17,Internet Fixe,FO,4,Sousse
2024-01-17,Internet Fixe,WAFI,1,Sfax
2024-01-17,Internet Fixe,Box,17,Grand Tunis
2024-01-17,Mobile,Prepaye,28,Bizerte
2024-01-17,Mobile,Postpaye,14,Gabes
2024-01-17,Mobile,Data,19,Grand Tunis
2024-01-18,Internet Fixe,Rapido,4,Sousse
2024-01-18,Internet Fixe,ADSL,0,Grand Tunis
2024-01-18,Internet Fixe,VDSL,6,Nabeul
2024-01-18,Internet Fixe,FO,9,Grand Tunis
2024-01-18,Internet Fixe,WAFI,1,Nabeul
2024-01-18,Internet Fixe,Box,17,Nabeul
2024-01-18,Mobile,Prepaye,23,Bizerte
2024-01-18,Mobile,Postpaye,10,Grand Tunis
2024-01-18,Mobile,Data,20,Gabes
2024-01-19,Internet Fixe,Rapido,6,Grand Tunis
2024-01-19,Internet Fixe,ADSL,1,Grand Tunis
2024-01-19,Internet Fixe,VDSL,6,Sousse
2024-01-19,Internet Fixe,FO,12,Sfax
2024-01-19,Internet Fixe,WAFI,0,Bizerte
2024-01-19,Internet Fixe,Box,29,Bizerte
2024-01-19,Mobile,Prepaye,13,Sfax
2024-01-19,Mobile,Postpaye,4,Kairouan
2024-01-19,Mobile,Data,14,Grand Tunis
2024-01-20,Internet Fixe,Rapido,0,Sousse
2024-01-20,Internet Fixe,ADSL,0,Grand Tunis
2024-01-20,Internet Fixe,VDSL,1,Kairouan
2024-01-20,Internet Fixe,FO,3,Grand Tunis
2024-01-20,Internet Fixe,WAFI,1,Grand Tunis
2024-01-20,Internet Fixe,Box,2,Sfax
2024-01-20,Mobile,Prepaye,11,Kairouan
2024-01-20,Mobile,Postpaye,5,Gabes
2024-01-20,Mobile,Data,6,Bizerte
2024-01-21,Internet Fixe,Rapido,2,Gabes
2024-01-21,Internet Fixe,ADSL,0,Gabes
2024-01-21,Internet Fixe,VDSL,2,Sousse
2024-01-21,Internet Fixe,FO,1,Sfax
2024-01-21,Internet Fixe,WAFI,0,Bizerte
2024-01-21,Internet Fixe,Box,5,Nabeul
2024-01-21,Mobile,Prepaye,15,Sfax
2024-01-21,Mobile,Postpaye,6,Grand Tunis
2024-01-21,Mobile,Data,8,Bizerte
2024-01-22,Internet Fixe,Rapido,1,Grand Tunis
2024-01-22,Internet Fixe,ADSL,1,Kairouan
2024-01-22,Internet Fixe,VDSL,7,Grand Tunis
2024-01-22,Internet Fixe,FO,5,Grand Tunis
2024-01-22,Internet Fixe,WAFI,0,Gabes
2024-01-22,Internet Fixe,Box,24,Grand Tunis
2024-01-22,Mobile,Prepaye,27,Grand Tunis
2024-01-22,Mobile,Postpaye,8,Sousse
2024-01-22,Mobile,Data,18,Gabes
2024-01-23,Internet Fixe,Rapido,5,Grand Tunis
2024-01-23,Internet Fixe,ADSL,3,Sfax
2024-01-23,Internet Fixe,VDSL,4,Bizerte
2024-01-23,Internet Fixe,FO,9,Kairouan
2024-01-23,Internet Fixe,WAFI,3,Sousse
2024-01-23,Internet Fixe,Box,18,Grand Tunis
2024-01-23,Mobile,Prepaye,32,Grand Tunis
2024-01-23,Mobile,Postpaye,10,Grand Tunis
2024-01-23,Mobile,Data,15,Grand Tunis
2024-01-24,Internet Fixe,Rapido,4,Nabeul
2024-01-24,Internet Fixe,ADSL,1,Grand Tunis
2024-01-24,Internet Fixe,VDSL,8,Sousse
2024-01-24,Internet Fixe,FO,7,Nabeul
2024-01-24,Internet Fixe,WAFI,4,Sousse
2024-01-24,Internet Fixe,Box,15,Grand Tunis
2024-01-24,Mobile,Prepaye,20,Bizerte
2024-01-24,Mobile,Postpaye,10,Nabeul
2024-01-24,Mobile,Data,23,Bizerte
2024-01-25,Internet Fixe,Rapido,2,Grand Tunis
2024-01-25,Internet Fixe,ADSL,7,Grand Tunis
2024-01-25,Internet Fixe,VDSL,3,Kairouan
2024-01-25,Internet Fixe,FO,9,Sfax
2024-01-25,Internet Fixe,WAFI,4,Sfax
2024-01-25,Internet Fixe,Box,27,Sousse
2024-01-25,Mobile,Prepaye,33,Nabeul
2024-01-25,Mobile,Postpaye,8,Kairouan
2024-01-25,Mobile,Data,10,Grand Tunis
2024-01-26,Internet Fixe,Rapido,6,Kairouan
2024-01-26,Internet Fixe,ADSL,1,Grand Tunis
2024-01-26,Internet Fixe,VDSL,8,Sousse
2024-01-26,Internet Fixe,FO,7,Nabeul
2024-01-26,Internet Fixe,WAFI,1,Grand Tunis
2024-01-26,Internet Fixe,Box,16,Grand Tunis
2024-01-26,Mobile,Prepaye,25,Sfax
2024-01-26,Mobile,Postpaye,10,Kairouan
2024-01-26,Mobile,Data,17,Sousse
2024-01-27,Internet Fixe,Rapido,0,Kairouan
2024-01-27,Internet Fixe,ADSL,1,Bizerte
2024-01-27,Internet Fixe,VDSL,0,Sousse
2024-01-27,Internet Fixe,FO,5,Bizerte
2024-01-27,Internet Fixe,WAFI,3,Grand Tunis
2024-01-27,Internet Fixe,Box,5,Grand Tunis
2024-01-27,Mobile,Prepaye,13,Bizerte
2024-01-27,Mobile,Postpaye,8,Bizerte
2024-01-27,Mobile,Data,5,Grand Tunis
2024-01-28,Internet Fixe,Rapido,4,Sousse
2024-01-28,Internet Fixe,ADSL,1,Sousse
2024-01-28,Internet Fixe,VDSL,4,Gabes
2024-01-28,Internet Fixe,FO,5,Sousse
2024-01-28,Internet Fixe,WAFI,0,Sfax
2024-01-28,Internet Fixe,Box,5,Sfax
2024-01-28,Mobile,Prepaye,8,Sfax
2024-01-28,Mobile,Postpaye,4,Nabeul
2024-01-28,Mobile,Data,8,Gabes
2024-01-29,Internet Fixe,Rapido,5,Sfax
2024-01-29,Internet Fixe,ADSL,0,Grand Tunis
2024-01-29,Internet Fixe,VDSL,9,Grand Tunis
2024-01-29,Internet Fixe,FO,13,Bizerte
2024-01-29,Internet Fixe,WAFI,3,Bizerte
2024-01-29,Internet Fixe,Box,13,Grand Tunis
2024-01-29,Mobile,Prepaye,23,Grand Tunis
2024-01-29,Mobile,Postpaye,14,Sousse
2024-01-29,Mobile,Data,17,Grand Tunis
2024-01-30,Internet Fixe,Rapido,3,Bizerte
2024-01-30,Internet Fixe,ADSL,4,Sfax
2024-01-30,Internet Fixe,VDSL,5,Grand Tunis
2024-01-30,Internet Fixe,FO,11,Kairouan
2024-01-30,Internet Fixe,WAFI,4,Grand Tunis
2024-01-30,Internet Fixe,Box,20,Grand Tunis
2024-01-30,Mobile,Prepaye,31,Grand Tunis
2024-01-30,Mobile,Postpaye,8,Grand Tunis
2024-01-30,Mobile,Data,18,Grand Tunis
2024-01-31,Internet Fixe,Rapido,3,Grand Tunis
2024-01-31,Internet Fixe,ADSL,1,Grand Tunis
2024-01-31,Internet Fixe,VDSL,1,Grand Tunis
2024-01-31,Internet Fixe,FO,1,Sousse
2024-01-31,Internet Fixe,WAFI,1,Nabeul
2024-01-31,Internet Fixe,Box,20,Sfax
2024-01-31,Mobile,Prepaye,20,Sfax
2024-01-31,Mobile,Postpaye,10,Sousse
2024-01-31,Mobile,Data,8,Gabes
2024-02-01,Internet Fixe,Rapido,6,Gabes
2024-02-01,Internet Fixe,ADSL,1,Grand Tunis
2024-02-01,Internet Fixe,VDSL,3,Grand Tunis
2024-02-01,Internet Fixe,FO,11,Grand Tunis
2024-02-01,Internet Fixe,WAFI,3,Grand Tunis
2024-02-01,Internet Fixe,Box,20,Sousse
2024-02-01,Mobile,Prepaye,33,Sfax
2024-02-01,Mobile,Postpaye,12,Grand Tunis
2024-02-01,Mobile,Data,12,Sfax
2024-02-02,Internet Fixe,Rapido,6,Sousse
2024-02-02,Internet Fixe,ADSL,2,Grand Tunis
2024-02-02,Internet Fixe,VDSL,0,Gabes
2024-02-02,Internet Fixe,FO,9,Grand Tunis
2024-02-02,Internet Fixe,WAFI,3,Kairouan
2024-02-02,Internet Fixe,Box,13,Grand Tunis
2024-02-02,Mobile,Prepaye,26,Gabes
2024-02-02,Mobile,Postpaye,9,Gabes
2024-02-02,Mobile,Data,7,Kairouan
2024-02-03,Internet Fixe,Rapido,2,Bizerte
2024-02-03,Internet Fixe,ADSL,2,Bizerte
2024-02-03,Internet Fixe,VDSL,1,Nabeul
2024-02-03,Internet Fixe,FO,7,Bizerte
2024-02-03,Internet Fixe,WAFI,1,Grand Tunis
2024-02-03,Internet Fixe,Box,12,Sousse
2024-02-03,Mobile,Prepaye,9,Sousse
2024-02-03,Mobile,Postpaye,8,Gabes
2024-02-03,Mobile,Data,8,Sousse
2024-02-04,Internet Fixe,Rapido,0,Sfax
2024-02-04,Internet Fixe,ADSL,0,Nabeul
2024-02-04,Internet Fixe,VDSL,2,Grand Tunis
2024-02-04,Internet Fixe,FO,7,Grand Tunis
2024-02-04,Internet Fixe,WAFI,3,Sousse
2024-02-04,Internet Fixe,Box,2,Sfax
2024-02-04,Mobile,Prepaye,13,Grand Tunis
2024-02-04,Mobile,Postpaye,4,Sfax
2024-02-04,Mobile,Data,8,Sfax
2024-02-05,Internet Fixe,Rapido,8,Sfax
2024-02-05,Internet Fixe,ADSL,5,Sfax
2024-02-05,Internet Fixe,VDSL,5,Nabeul
2024-02-05,Internet Fixe,FO,7,Grand Tunis
2024-02-05,Internet Fixe,WAFI,2,Kairouan
2024-02-05,Internet Fixe,Box,19,Gabes
2024-02-05,Mobile,Prepaye,22,Sousse
2024-02-05,Mobile,Postpaye,7,Sfax
2024-02-05,Mobile,Data,14,Sousse
2024-02-06,Internet Fixe,Rapido,5,Gabes
2024-02-06,Internet Fixe,ADSL,1,Nabeul
2024-02-06,Internet Fixe,VDSL,6,Bizerte
2024-02-06,Internet Fixe,FO,6,Sousse
2024-02-06,Internet Fixe,WAFI,5,Nabeul
2024-02-06,Internet Fixe,Box,32,Grand Tunis
2024-02-06,Mobile,Prepaye,22,Bizerte
2024-02-06,Mobile,Postpaye,20,Grand Tunis
2024-02-06,Mobile,Data,20,Nabeul
2024-02-07,Internet Fixe,Rapido,10,Gabes
2024-02-07,Internet Fixe,ADSL,2,Grand Tunis
2024-02-07,Internet Fixe,VDSL,3,Nabeul
2024-02-07,Internet Fixe,FO,8,Grand Tunis
2024-02-07,Internet Fixe,WAFI,4,Nabeul
2024-02-07,Internet Fixe,Box,14,Grand Tunis
2024-02-07,Mobile,Prepaye,22,Kairouan
2024-02-07,Mobile,Postpaye,16,Grand Tunis
2024-02-07,Mobile,Data,17,Kairouan
2024-02-08,Internet Fixe,Rapido,5,Bizerte
2024-02-08,Internet Fixe,ADSL,1,Sousse
2024-02-08,Internet Fixe,VDSL,7,Bizerte
2024-02-08,Internet Fixe,FO,7,Bizerte
2024-02-08,Internet Fixe,WAFI,5,Kairouan
2024-02-08,Internet Fixe,Box,18,Grand Tunis
2024-02-08,Mobile,Prepaye,29,Sousse
2024-02-08,Mobile,Postpaye,12,Grand Tunis
2024-02-08,Mobile,Data,21,Nabeul
2024-02-09,Internet Fixe,Rapido,4,Grand Tunis
2024-02-09,Internet Fixe,ADSL,4,Sousse
2024-02-09,Internet Fixe,VDSL,8,Sousse
2024-02-09,Internet Fixe,FO,9,Sousse
2024-02-09,Internet Fixe,WAFI,2,Sousse
2024-02-09,Internet Fixe,Box,22,Bizerte
2024-02-09,Mobile,Prepaye,25,Bizerte
2024-02-09,Mobile,Postpaye,7,Sousse
2024-02-09,Mobile,Data,13,Sousse
2024-02-10,Internet Fixe,Rapido,2,Kairouan
2024-02-10,Internet Fixe,ADSL,2,Grand Tunis
2024-02-10,Internet Fixe,VDSL,3,Grand Tunis
2024-02-10,Internet Fixe,FO,3,Grand Tunis
2024-02-10,Internet Fixe,WAFI,1,Nabeul
2024-02-10,Internet Fixe,Box,6,Sfax
2024-02-10,Mobile,Prepaye,12,Bizerte
2024-02-10,Mobile,Postpaye,8,Nabeul
2024-02-10,Mobile,Data,7,Sfax
2024-02-11,Internet Fixe,Rapido,6,Gabes
2024-02-11,Internet Fixe,ADSL,0,Bizerte
2024-02-11,Internet Fixe,VDSL,4,Grand Tunis
2024-02-11,Internet Fixe,FO,2,Sfax
2024-02-11,Internet Fixe,WAFI,3,Sfax
2024-02-11,Internet Fixe,Box,8,Grand Tunis
2024-02-11,Mobile,Prepaye,10,Grand Tunis
2024-02-11,Mobile,Postpaye,6,Kairouan
2024-02-11,Mobile,Data,3,Sfax
2024-02-12,Internet Fixe,Rapido,3,Sfax
2024-02-12,Internet Fixe,ADSL,2,Nabeul
2024-02-12,Internet Fixe,VDSL,5,Sousse
2024-02-12,Internet Fixe,FO,10,Kairouan
2024-02-12,Internet Fixe,WAFI,2,Bizerte
2024-02-12,Internet Fixe,Box,24,Sousse
2024-02-12,Mobile,Prepaye,24,Sfax
2024-02-12,Mobile,Postpaye,7,Kairouan
2024-02-12,Mobile,Data,14,Nabeul
2024-02-13,Internet Fixe,Rapido,2,Kairouan
2024-02-13,Internet Fixe,ADSL,1,Grand Tunis
2024-02-13,Internet Fixe,VDSL,6,Gabes
2024-02-13,Internet Fixe,FO,15,Nabeul
2024-02-13,Internet Fixe,WAFI,3,Grand Tunis
2024-02-13,Internet Fixe,Box,18,Sousse
2024-02-13,Mobile,Prepaye,36,Nabeul
2024-02-13,Mobile,Postpaye,13,Grand Tunis
2024-02-13,Mobile,Data,15,Sfax
2024-02-14,Internet Fixe,Rapido,9,Bizerte
2024-02-14,Internet Fixe,ADSL,2,Grand Tunis
2024-02-14,Internet Fixe,VDSL,10,Sfax
2024-02-14,Internet Fixe,FO,7,Sfax
2024-02-14,Internet Fixe,WAFI,2,Sfax
2024-02-14,Internet Fixe,Box,23,Gabes
2024-02-14,Mobile,Prepaye,34,Bizerte
2024-02-14,Mobile,Postpaye,16,Grand Tunis
2024-02-14,Mobile,Data,16,Kairouan
2024-02-15,Internet Fixe,Rapido,2,Gabes
2024-02-15,Internet Fixe,ADSL,5,Grand Tunis
2024-02-15,Internet Fixe,VDSL,7,Gabes
2024-02-15,Internet Fixe,FO,7,Grand Tunis
2024-02-15,Internet Fixe,WAFI,2,Kairouan
2024-02-15,Internet Fixe,Box,14,Nabeul
2024-02-15,Mobile,Prepaye,28,Nabeul
2024-02-15,Mobile,Postpaye,12,Grand Tunis
2024-02-15,Mobile,Data,18,Gabes
2024-02-16,Internet Fixe,Rapido,4,Grand Tunis
2024-02-16,Internet Fixe,ADSL,1,Grand Tunis
2024-02-16,Internet Fixe,VDSL,6,Grand Tunis
2024-02-16,Internet Fixe,FO,10,Bizerte
2024-02-16,Internet Fixe,WAFI,3,Grand Tunis
2024-02-16,Internet Fixe,Box,19,Gabes
2024-02-16,Mobile,Prepaye,19,Nabeul
2024-02-16,Mobile,Postpaye,10,Grand Tunis
2024-02-16,Mobile,Data,12,Grand Tunis
2024-02-17,Internet Fixe,Rapido,3,Grand Tunis
2024-02-17,Internet Fixe,ADSL,2,Sousse
2024-02-17,Internet Fixe,VDSL,3,Bizerte
2024-02-17,Internet Fixe,FO,7,Grand Tunis
2024-02-17,Internet Fixe,WAFI,0,Gabes
2024-02-17,Internet Fixe,Box,1,Grand Tunis
2024-02-17,Mobile,Prepaye,11,Bizerte
2024-02-17,Mobile,Postpaye,3,Kairouan
2024-02-17,Mobile,Data,9,Bizerte
2024-02-18,Internet Fixe,Rapido,4,Nabeul
2024-02-18,Internet Fixe,ADSL,0,Gabes
2024-02-18,Internet Fixe,VDSL,4,Grand Tunis
2024-02-18,Internet Fixe,FO,6,Grand Tunis
2024-02-18,Internet Fixe,WAFI,5,Grand Tunis
2024-02-18,Internet Fixe,Box,9,Sousse
2024-02-18,Mobile,Prepaye,9,Bizerte
2024-02-18,Mobile,Postpaye,4,Nabeul
2024-02-18,Mobile,Data,4,Gabes
2024-02-19,Internet Fixe,Rapido,2,Grand Tunis
2024-02-19,Internet Fixe,ADSL,2,Bizerte
2024-02-19,Internet Fixe,VDSL,5,Grand Tunis
2024-02-19,Internet Fixe,FO,10,Grand Tunis
2024-02-19,Internet Fixe,WAFI,3,Nabeul
2024-02-19,Internet Fixe,Box,18,Kairouan
2024-02-19,Mobile,Prepaye,30,Nabeul
2024-02-19,Mobile,Postpaye,13,Grand Tunis
2024-02-19,Mobile,Data,15,Nabeul
2024-02-20,Internet Fixe,Rapido,1,Grand Tunis
2024-02-20,Internet Fixe,ADSL,1,Gabes
2024-02-20,Internet Fixe,VDSL,6,Nabeul
2024-02-20,Internet Fixe,FO,10,Grand Tunis
2024-02-20,Internet Fixe,WAFI,3,Grand Tunis
2024-02-20,Internet Fixe,Box,23,Grand Tunis
2024-02-20,Mobile,Prepaye,27,Kairouan
2024-02-20,Mobile,Postpaye,13,Sfax
2024-02-20,Mobile,Data,11,Bizerte
2024-02-21,Internet Fixe,Rapido,7,Nabeul
2024-02-21,Internet Fixe,ADSL,3,Sousse
2024-02-21,Internet Fixe,VDSL,4,Grand Tunis
2024-02-21,Internet Fixe,FO,11,Kairouan
2024-02-21,Internet Fixe,WAFI,3,Sfax
2024-02-21,Internet Fixe,Box,22,Sousse
2024-02-21,Mobile,Prepaye,24,Nabeul
2024-02-21,Mobile,Postpaye,10,Nabeul
2024-02-21,Mobile,Data,16,Kairouan
2024-02-22,Internet Fixe,Rapido,2,Grand Tunis
2024-02-22,Internet Fixe,ADSL,1,Sousse
2024-02-22,Internet Fixe,VDSL,1,Sfax
2024-02-22,Internet Fixe,FO,8,Sousse
2024-02-22,Internet Fixe,WAFI,2,Grand Tunis
2024-02-22,Internet Fixe,Box,29,Grand Tunis
2024-02-22,Mobile,Prepaye,29,Grand Tunis
2024-02-22,Mobile,Postpaye,9,Sfax
2024-02-22,Mobile,Data,31,Sfax
2024-02-23,Internet Fixe,Rapido,3,Nabeul
2024-02-23,Internet Fixe,ADSL,1,Nabeul
2024-02-23,Internet Fixe,VDSL,6,Sfax
2024-02-23,Internet Fixe,FO,7,Sfax
2024-02-23,Internet Fixe,WAFI,5,Grand Tunis
2024-02-23,Internet Fixe,Box,25,Sousse
2024-02-23,Mobile,Prepaye,22,Sfax
2024-02-23,Mobile,Postpaye,8,Grand Tunis
2024-02-23,Mobile,Data,11,Sfax
2024-02-24,Internet Fixe,Rapido,1,Sousse
2024-02-24,Internet Fixe,ADSL,0,Grand Tunis
2024-02-24,Internet Fixe,VDSL,4,Sousse
2024-02-24,Internet Fixe,FO,3,Sousse
2024-02-24,Internet Fixe,WAFI,1,Nabeul
2024-02-24,Internet Fixe,Box,12,Nabeul
2024-02-24,Mobile,Prepaye,8,Nabeul
2024-02-24,Mobile,Postpaye,2,Sfax
2024-02-24,Mobile,Data,3,Bizerte
2024-02-25,Internet Fixe,Rapido,0,Sousse
2024-02-25,Internet Fixe,ADSL,0,Sfax
2024-02-25,Internet Fixe,VDSL,1,Nabeul
2024-02-25,Internet Fixe,FO,3,Sfax
2024-02-25,Internet Fixe,WAFI,0,Sousse
2024-02-25,Internet Fixe,Box,16,Bizerte
2024-02-25,Mobile,Prepaye,7,Gabes
2024-02-25,Mobile,Postpaye,5,Kairouan
2024-02-25,Mobile,Data,4,Sousse
2024-02-26,Internet Fixe,Rapido,6,Sousse
2024-02-26,Internet Fixe,ADSL,2,Bizerte
2024-02-26,Internet Fixe,VDSL,6,Sfax
2024-02-26,Internet Fixe,FO,11,Gabes
2024-02-26,Internet Fixe,WAFI,2,Sousse
2024-02-26,Internet Fixe,Box,21,Grand Tunis
2024-02-26,Mobile,Prepaye,17,Grand Tunis
2024-02-26,Mobile,Postpaye,8,Gabes
2024-02-26,Mobile,Data,21,Grand Tunis
2024-02-27,Internet Fixe,Rapido,4,Grand Tunis
2024-02-27,Internet Fixe,ADSL,0,Sfax
2024-02-27,Internet Fixe,VDSL,6,Grand Tunis
2024-02-27,Internet Fixe,FO,10,Sfax
2024-02-27,Internet Fixe,WAFI,1,Bizerte
2024-02-27,Internet Fixe,Box,17,Grand Tunis
2024-02-27,Mobile,Prepaye,21,Bizerte
2024-02-27,Mobile,Postpaye,10,Gabes
