ds,categorie,prevision,prevision_min,prevision_max,annee,mois
2026-02-01,Mobile,1568.6179230401995,1536.7668403412142,1602.448521470515,2026,2
2026-03-01,Mobile,1797.1416751447246,1765.223836910449,1828.0813988058503,2026,3
2026-04-01,Mobile,1874.8134465053952,1841.2233614164802,1904.87849717499,2026,4
2026-05-01,Mobile,1815.116459980149,1782.5692118770428,1846.9410247887101,2026,5
2026-06-01,Mobile,1690.3743077732852,1658.0996114447153,1722.5687799939565,2026,6
2026-07-01,Mobile,1889.150543838828,1857.8358769884712,1919.9457878847081,2026,7
2026-08-01,Mobile,1441.0517855867492,1408.7827887358396,1472.671478952737,2026,8
2026-09-01,Mobile,1558.6055272311612,1527.5748512079672,1589.4311506022907,2026,9
2026-10-01,Mobile,1601.6534181150842,1570.8292050158723,1634.1262049249826,2026,10
2026-11-01,Mobile,1473.2482444699388,1438.6583569017564,1504.484590257455,2026,11
2026-12-01,Mobile,1612.9053983335166,1581.1526208901703,1644.5143393553553,2026,12
2027-01-01,Mobile,1807.5011964142816,1773.838145549677,1840.0288333414417,2027,1
2027-02-01,Mobile,1727.315807566028,1698.0334350396677,1758.6599358707958,2027,2
2027-03-01,Mobile,1941.0991868823435,1907.7063088791233,1971.8573879195603,2027,3
2027-04-01,Mobile,2068.4480199566874,2037.5358723419367,2100.733579267051,2027,4
2027-05-01,Mobile,1945.5717596356653,1915.0027875199673,1977.0875155606286,2027,5
2027-06-01,Mobile,1806.3660059727883,1775.0133124665092,1836.520391850142,2027,6
2027-07-01,Mobile,2135.1993903313237,2101.731665732732,2166.536857118376,2027,7
2027-08-01,Mobile,1497.51504971759,1464.9974941345167,1530.215358128212,2027,8
2027-09-01,Mobile,1735.8050051462421,1703.5077712494883,1768.4636333814165,2027,9
2027-10-01,Mobile,1819.4611162997862,1786.2531200407743,1852.647001162766,2027,10
2027-11-01,Mobile,1607.3356388017376,1573.0320662833283,1638.9560104485406,2027,11
2027-12-01,Mobile,1720.9302839798358,1687.3475909253484,1752.482228623716,2027,12
